acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence,year,Song,Weeks on Chart,Average Previous Week Position,Week Position
0.392,peaches  herb,0.287,158013,0.512,2.44e-05,4,0.341,-9.094,24,0.0308,186.638,0.682,1967,lets fall in love,12,51.0,144.0
0.565,jefferson airplane,0.458,191027,0.631,0.000225,7,0.375,-11.133,27,0.0537,131.047,0.552,1967,watch her ride,4,34.0,71.0
0.769,dean martin,0.557,146387,0.562,0.0,7,0.45,-9.575,27,0.0414,111.069,0.636,1967,nobodys baby again,6,27.0,73.0
0.186,four tops,0.514,177653,0.479,1.74e-06,8,0.0862,-13.355,27,0.0348,110.059,0.652,1968,yesterdays dreams,6,40.0,93.0
0.383,etta james,0.6940000000000001,150933,0.726,5.59e-05,1,0.0897,-6.335,29,0.0446,111.483,0.853,1968,security,10,48.0,118.0
0.139,the box tops,0.6829999999999999,170827,0.503,0.0,5,0.0763,-13.166,30,0.0295,112.745,0.941,1968,choo choo train,8,67.0,135.0
0.092,the intruders,0.285,170427,0.388,0.0,0,0.39,-11.927,23,0.0305,90.768,0.376,1968,well be united,6,9.0,40.0
0.368,the association,0.486,157267,0.369,0.0,2,0.219,-11.4,23,0.0253,95.72,0.274,1968,no fair at all,7,39.0,89.0
0.305,neil diamond,0.555,168693,0.442,0.0,2,0.127,-13.296,30,0.0306,123.911,0.7929999999999999,1968,sunday sun,5,21.0,58.0
0.71,arthur conley,0.7,143133,0.903,2.61e-06,7,0.23,-11.68,31,0.12,150.224,0.853,1968,funky street,12,66.0,156.0
0.603,linda ronstadt,0.464,141160,0.741,0.0,10,0.0896,-5.192,25,0.0466,151.72,0.947,1969,silver threads and golden needles,7,16.0,60.0
0.111,steppenwolf,0.479,173440,0.7090000000000001,0.0391,5,0.173,-14.255999999999998,27,0.0308,133.905,0.963,1969,move over,9,58.0,125.0
0.887,johnny mathis,0.247,174987,0.496,0.0007019999999999,9,0.0705,-8.522,28,0.0368,75.226,0.315,1969,love theme from romeo and juliet a time for us,3,1.0,2.0
0.0049,sam  dave,0.6659999999999999,156880,0.631,0.486,0,0.258,-5.932,26,0.0304,112.593,0.643,1969,soul man,15,77.0,178.0
0.102,the meters,0.612,194560,0.623,0.26,9,0.3229999999999999,-12.776,29,0.247,100.996,0.757,1970,chicken strut,8,38.0,91.0
0.0357,the fabulous thunderbirds,0.568,200773,0.8140000000000001,0.000875,4,0.461,-6.646,27,0.0425,116.224,0.677,1970,tuff enuff,19,61.0,164.0
0.629,aretha franklin,0.7959999999999999,158200,0.555,1.36e-06,2,0.134,-9.537,32,0.055,124.508,0.96,1970,eleanor rigby,8,64.0,151.0
0.0544,eric clapton,0.431,302493,0.682,0.00323,2,0.142,-10.265999999999998,29,0.0314,122.305,0.7,1970,let it rain,13,42.0,95.0
0.0514,stevie wonder,0.67,161000,0.619,0.0,0,0.0492,-10.365,30,0.0323,108.826,0.807,1970,signed sealed delivered im yours,14,85.0,176.0
