Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
911,wyclef jean featuring mary j blige,19,58,96
92 explorer,post malone,3,54,98
93 til infinity,souls of mischief,9,81,96
96 tears, question mark  the mysterians,15,15,45
96 tears,big maybelle,3,98,98
96 tears,garland jeffreys,7,76,100
98 thug paradise,tragedy capone infinite,5,89,99
986,keith,14,32,73
99,toto,17,47,91
99 12,carol lynn townes,9,86,97
99 luftballons,nena,23,35,98
99 miles from la,albert hammond,6,95,98
99 problems,jayz,12,59,87
99 worlds,peter wolf,4,84,91
992 arguments,the ojays,8,66,76
999 sure ive never been here before,brian mccomas,11,70,100
9999999 tears,dickey lee,10,68,87
9th wonder slicker this year,digable planets,7,85,100
a bad goodbye,clint black with wynonna,11,60,94
a banda ah bahnda,herb alpert  the tijuana brass,6,50,57
a bay bay,hurricane chris,20,28,85
a beautiful morning,the rascals,13,16,46
a beautiful story,sonny  cher,5,67,71
a better love,londonbeat,15,43,94
a big hunk o love,elvis presley with the jordanaires,14,18,96
a bitter end,deryl dodd,7,94,100
a boy named sue,johnny cash,12,10,22
a boy without a girl,frankie avalon,14,33,97
a brand new me,dusty springfield,12,40,67
a breath taking guy,the supremes,7,87,94
a broken wing,jordin sparks,2,66,93
a certain girl,ernie kdoe,4,82,76
a certain girl,warren zevon,7,69,96
a certain smile,johnny mathis,9,38,82
a chance for heaven,christopher cross,5,82,96
a change is gonna come,sam cooke,7,42,46
a change is gonna come  people gotta be freethe declaration,the 5th dimension,5,68,69
a closer walk,pete fountain,3,93,93
a corner in the sun,walter jackson,4,89,86
a cottage for sale,little willie john,6,79,86
a country boy can survive y2k version,chad brock with hank williams jr  george jones,3,84,92
a cowboys work is never done,sonny  cher,13,25,59
a cross stands alone,jimmy witter,4,94,96
a day in my life without you,lisette melendez,20,68,94
a day in the life of a fool,jack jones,8,72,84
a deeper love from sister act 2,aretha franklin,9,75,99
a deeper lovepride in the name of love,clivilles  cole,17,63,90
a different corner,george michael,16,31,94
a different world,bucky covington,20,77,99
a dollar down,the limeliters,3,66,69
a dose of rock n roll,ringo starr,9,36,93
a dream goes on forever,todd rundgren,6,75,78
a dreams a dream,soul ii soul,5,89,94
a face in the crowd,tom petty,8,63,93
a few questions,clay walker,13,65,99
a fifth of beethoven,walter murphy  the big apple band,28,25,95
a fine fine boy,darlene love,6,67,75
a fine fine day,tony carey,15,43,93
a fool in love,ike  tina turner,13,46,67
a fool never learns,andy williams,10,28,48
a fool such as i,bob dylan,7,68,74
a friend in the city,andy kim,2,90,90
a friend of mine is going blind,john dawson read,4,82,77
a girl has to know,the gclefs,5,88,87
a girl in trouble is a temporary thing,romeo void,13,54,92
a girl like you,gary stites,5,86,87
a girl like you,the smithereens,20,65,95
a girl like you,the young rascals,9,21,34
a girl like you from empire records,edwyn collins,9,48,87
a girls work is never done,the chordettes,3,96,93
a good day to run,darryl worley,9,80,99
a good heart,feargal sharkey,6,82,86
a groovy kind of love,the mindbenders,13,20,52
a guy walks into a bar,tyler farr,20,77,99
a guy with a girl,blake shelton,17,70,100
a happy guy,rick nelson,4,93,91
a hard days night,ramsey lewis trio,6,40,47
a hard days night,the beatles,13,9,50
a hazy shade of winter,simon  garfunkel,9,30,47
a heart in new york,art garfunkel,9,74,99
a holly jolly christmas,burl ives,19,21,46
a horse with no name,america,14,15,47
a house a car and a wedding ring,dale hawkins,5,91,99
a house is not a home,brook benton,7,88,92
a house is not a home,dionne warwick,6,82,85
a hundred pounds of clay,gene mcdaniels,15,21,71
a hurricane is coming tonite,carol douglas,2,88,81
a kind of magic,queen,11,60,94
a kookie little paradise,jo ann campbell,9,76,95
a lesson in leavin,dottie west,5,79,95
a letter to an angel,jimmy clanton,12,43,68
a letter to dad,every fathers teenage son,4,96,97
a letter to myself,the chilites,11,49,69
a letter to the beatles,the four preps,3,86,86
a life of illusion,joe walsh,12,50,94
a lifetime of loneliness,jackie deshannon,6,72,76
a little bit like magic,king harvest,4,95,94
a little bit me a little bit you,the monkees,10,11,33
a little bit more,dr hook,24,38,94
a little bit now,the dave clark five,4,77,75
a little bit now a little bit later,the majors,6,72,77
a little bit of ecstasy,jocelyn enriquez,20,69,82
a little bit of heaven,natalie cole,6,90,99
a little bit of heaven,ronnie dove,10,36,68
a little bit of love is all it takes,new edition,15,63,98
a little bit of soap,paul davis,12,66,92
a little bit of soap,the exciters,6,69,70
a little bit of soap,the jarmels,10,34,61
a little bit stronger,sara evans,21,60,82
a little bitty tear,burl ives,15,27,54
a little bitty tear,wanda jackson,3,88,87
a little dog cried,jimmie rodgers,4,78,79
a little feeling called love,jack scott,2,100,91
a little gasoline,terri clark,6,88,99
a little good news,anne murray,9,82,98
a little in love,cliff richard,22,42,93
a little is enough,pete townshend,4,75,94
a little less conversation,elvis presley vs jxl,9,58,86
a little less conversation,elvis presley with the jordanaires,4,74,77
a little less sixteen candles a little more touch me,fall out boy,13,75,91
a little love,corey hart,11,61,97
a little love,juice newton,10,59,96
a little lovin keeps the doctor away,the raes,9,80,93
a little more country than that,easton corbin,20,72,95
a little more love,olivia newtonjohn,20,17,55
a little more summertime,jason aldean,13,62,87
a little party never killed nobody all we got,fergie qtip  goonrock,2,77,93
a little past little rock,lee ann womack,10,80,98
a little rain must fall,the epic splendor,7,95,100
a little respect,erasure,17,39,92
a little too late,toby keith,15,65,93
a little too much,clarence henry,5,82,87
a little toy balloon,danny williams,4,87,86
a little you,freddie and the dreamers,7,62,71
a lonely manthe man  the woman the boy  the girl,the chilites,5,66,81
a long time a long way to go,runttodd rundgren,2,92,92
a long walk,jill scott,19,61,93
a lot,21 savage,23,26,49
a lot of things different,kenny chesney,15,70,96
a love bizarre,sheila e,23,42,99
a love of my own,carla thomas,6,68,71
a love she can count on,the miracles,9,50,71
a love so fine,the chiffons,9,62,90
a love song,kenny rogers,10,64,94
a love thats real,the intruders,3,88,82
a lovers concerto,mrs miller,2,96,95
a lovers concerto,sarah vaughan,6,75,80
a lovers concerto,the toys,15,29,93
a lovers holiday,change,13,55,88
a lovers prayer,dion  the belmonts,3,75,79
a lovers question,clyde mcphatter,24,22,77
a lovers question,loggins  messina,2,91,89
a lovers question,otis redding,6,54,57
a lucky guy,rickie lee jones,7,75,99
a mama and a papa,ray stevens,3,86,85
a man aint made of stone,randy travis,4,83,87
a man and a half,wilson pickett,6,68,76
a man and a woman,tamiko jones with herbie mann,2,88,88
a man holdin on to a woman lettin go,ty herndon,10,84,97
a man ill never be,boston,12,49,98
a man needs a woman,james carr,10,77,90
a man without love quando minnamoro,engelbert humperdinck,9,42,53
a matter of trust,billy joel,18,37,86
a mess of blues,elvis presley with the jordanaires,11,51,73
a milli,lil wayne,23,23,44
a million and one,dean martin,7,58,66
a million and one,vic dana,3,78,76
a million miles away,the plimsouls,3,85,98
a million to one,brian hyland,5,94,99
a million to one,five stairsteps  cubie,6,77,81
a million to one,jimmy charles and the revelletts,15,26,80
a million to oneyoung love,donny osmond,11,41,69
a minute of your time,tom jones,10,60,73
a miracle,frankie avalon,6,87,90
a moment like this,kelly clarkson,20,36,86
a mother for my children,the whispers,4,96,96
a mover la colita,artie the 1 man party,19,78,98
a must to avoid,hermans hermits,9,18,40
a natural man,lou rawls,18,42,77
a natural woman you make me feel like,aretha franklin,9,22,38
a new day has come,celine dion,20,45,81
a night to remember,joe diffie,20,58,94
a night to remember,shalamar,10,58,93
a nightmare on my street,dj jazzy jeff  the fresh prince,16,41,98
a part of me,jimmy clanton,7,59,64
a part of you,brenda  the tabulations,5,98,99
a passion play edit 8,jethro tull,5,88,92
a penny for your thoughts,tavares,21,47,98
a perfect love,frankie avalon,6,63,75
a piece of paper,gladstone,11,62,82
a place in the sun,pablo cruise,9,59,95
a place in the sun,stevie wonder,11,29,53
a prayer and a juke box,little anthony and the imperials,4,88,99
a promise i make,dakota moon,13,76,90
a public affair,jessica simpson,12,34,81
a question of temperature,the balloon farm,8,45,54
a quiet place,garnet mimms  the enchanters,7,87,91
a ray of hope,the rascals,8,36,46
a real fine place to start,sara evans,20,58,83
a real mother for ya,johnny guitar watson,12,66,99
a rock n roll fantasy,the kinks,11,50,99
a rockin good way to mess around and fall in love,dinah washington  brook benton,13,23,67
a rose is still a rose,aretha franklin,18,45,99
a satisfied mind,bobby hebb,6,58,67
a scottish soldier green hills of tyrol,andy stewart,6,84,92
a ship will come ein schiff wird kommen,lale anderson,4,92,97
a shot in the dark,henry mancini and his orchestra,2,97,97
a shoulder to cry on,tommy page,20,56,98
a sign of the times,petula clark,8,27,36
a simple game,four tops,3,95,93
a simple man,lobo,9,65,72
a sky full of stars,coldplay,26,38,71
a smile like yours from a smile like yours,natalie cole,5,88,94
a song for mama,boyz ii men,20,19,56
a song for you,andy williams,4,86,88
a song id like to sing,kris kristofferson  rita coolidge,10,71,93
a song of joy himno a la alegria,miguel rios,9,24,37
a song that never comes,mama cass elliot,2,99,99
a star is born a love has died,mark dinning,6,79,87
a steel guitar and a glass of wine,paul anka,10,36,68
a stranger in your town,the shacklefords,6,82,84
a string of trumpets,the trumpeteers,9,74,80
a summer song,chad  jeremy,14,36,85
a sunday kind of love,lenny welch,5,97,98
a sweet woman like you,joe tex,9,45,60
a swingin safari,billy vaughn and his orchestra,12,34,64
a symphony for susan,the arbors,10,70,86
