Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
dont think they know,chris brown featuring aaliyah,2,87,81
dont think twice,the wonder who,11,35,69
dont think twice its all right,peter paul  mary,10,28,51
dont thinkfeel,neil diamond,8,60,67
dont throw away all those teardrops,frankie avalon,10,36,61
dont throw your love away,the searchers,11,32,54
dont touch me,bettye swann,10,55,78
dont touch me,jeannie seely,5,92,95
dont touch me there,the tubes,7,69,69
dont treat me bad,firehouse,23,48,97
dont trust me,3oh3,37,38,84
dont try to fight it baby,eydie gorme,7,67,74
dont try to lay no boogie woogie on the king of rock  roll,crow,9,63,74
dont try to lay no boogiewoogie on the king of rock and roll,john baldry,7,79,85
dont try to stop it,roman holliday,6,78,94
dont turn around,ace of base,31,16,50
dont turn the light out,cliff richard,7,71,76
dont wait,dashboard confessional,4,80,96
dont wait for heroes,dennis deyoung,4,89,99
dont wait too long,tony bennett,7,76,95
dont wake me up,chris brown,28,33,80
dont wake me up in the morning michael,peppermint rainbow,9,68,83
dont walk away,jade,35,25,76
dont walk away,rick springfield,12,42,94
dont walk away,robert tepper,3,86,97
dont walk away,toni childs,7,81,87
dont wanna be a player from booty call,joe,20,43,100
dont wanna fall in love,jane child,21,28,89
dont wanna go home,jason derulo,15,32,87
dont wanna know,maroon 5 featuring kendrick lamar,27,18,46
dont wanna live inside myself,bee gees,7,61,64
dont wanna lose you,gloria estefan,18,22,84
dont wanna lose you,lionel richie,15,62,97
dont wanna think about paula,dickey lee,5,82,89
dont wanna try,frankie j,20,35,61
dont want nobody,jd drews,6,84,96
dont want to be a fool,luther vandross,20,38,70
dont want to live without it,pablo cruise,16,47,95
dont want to say goodbye,raspberries,2,93,86
dont want to wait anymore,the tubes,12,57,94
dont waste my time,john mayall,3,88,87
dont waste your time,yarbrough  peoples,12,64,98
dont worry,marty robbins,15,18,59
dont worry baby,bj thomas,17,40,98
dont worry baby,the beach boys,10,44,74
dont worry baby,the tokens,2,95,95
dont worry be happy from cocktail,bobby mcferrin,26,41,87
dont worry bout a thing,shedaisy,10,69,93
dont worry bout me,vincent edwards,2,72,93
dont worry if theres a hell below were all going to go,curtis mayfield,12,52,78
dont worry mother your sons heart is pure,the mccoys,5,75,73
dont ya,brett eldredge,20,54,95
dont you believe it,andy williams,10,65,91
dont you care,the buckinghams,14,33,85
dont you come cryin,linear,7,80,92
dont you forget about me,simple minds,22,31,98
dont you forget it,glenn lewis,20,58,91
dont you get so mad,jeffrey osborne,14,46,76
dont you know,della reese,18,19,92
dont you know how much i love you,ronnie milsap,7,70,98
dont you know what love is,touch,6,81,90
dont you know what the night can do,steve winwood,17,30,87
dont you know yockomo,huey piano smith with his clowns,6,62,82
dont you love me,49ers,9,86,97
dont you miss me a little bit baby,jimmy ruffin,5,76,73
dont you wanna be mine,denise lopez,3,89,100
dont you wanna stay,jason aldean with kelly clarkson,30,50,95
dont you want me,jody watley,23,36,100
dont you want me,the human league,28,26,97
dont you worry,don gardner and dee dee ford,7,76,83
dont you worry bout a thing,stevie wonder,15,36,58
dont you worry child,swedish house mafia featuring john martin,33,31,91
dont you write her off,mcguinn clark  hillman,11,51,78
dontchange,musiq,26,34,70
doo doo brown,2 hyped brothers  a dog,5,92,100
doo doo doo doo doo heartbreaker,the rolling stones,11,36,89
doo wop that thing,lauryn hill,21,18,50
door to your heart,the dramatics,6,72,78
dope,lady gaga,2,8,71
dope,tyga featuring rick ross,10,88,100
doraville,atlanta rhythm section,8,58,89
doremi,lee dorsey,10,49,66
doremi,mitch miller,4,79,94
double barrel,dave  ansil collins,11,37,58
double dutch bus,frankie smith,19,50,95
double good everything,smokey robinson,3,97,95
double lovin,the osmonds,9,33,53
double shot of my babys love,swingin medallions,13,47,92
double trouble,lynyrd skynyrd,3,85,80
double up,nipsey hussle featuring belly  dom kennedy,3,70,82
double vision,3oh3,4,90,92
double vision,foreigner,20,34,92
doubleback from back to the future part iii,zz top,11,69,99
doubleoseven,the detergents,3,93,93
dowackado,roger miller,8,54,71
dowahdiddy,the exciters,4,86,89
down,fifth harmony featuring gucci mane,9,75,90
down,jay sean featuring lil wayne,40,18,78
down,marian hill,17,41,100
down,rkm  keny,3,92,90
down 4 u,irv gotti presents the inc featuring ja rule ashanti charli baltimore  vita,20,26,78
down 4 whateva from a low down dirty shame,nuttin nyce,4,93,100
down a chick,ja rule featuring charli chuck baltimore,19,48,94
down and out in new york city,james brown,7,64,77
down at lulus,ohio express,9,47,52
down at papa joes,the dixiebelles,13,37,82
down boys,warrant,16,50,90
down by the lazy river,the osmonds,14,18,58
down by the river,albert hammond,7,95,97
down by the river,buddy miles,7,78,83
down by the river,the brooklyn bridge,2,91,91
down by the riverside,les compagnons de la chanson,8,75,86
down by the station,the four preps,15,31,98
down for yours,nastyboy klick featuring roger troutman,17,80,98
down here on the ground,lou rawls,5,74,74
down in the alley,ronnie hawkins,5,79,79
down in the boondocks,billy joe royal,13,34,77
down in the dm,yo gotti featuring nicki minaj,21,36,68
down in the valley,solomon burke,8,85,91
down in virginia,jimmy reed,2,96,93
down low nobody has to know,r kelly featuring ronald isley,20,18,62
down on love,foreigner,8,64,95
down on me,big brother and the holding company,8,59,69
down on me,janis joplin,4,95,95
down on me,jeremih featuring 50 cent,33,30,82
down on the cornerfortunate son,creedence clearwater revival,15,22,60
down so long,jewel,6,67,71
down the aisle,ike clanton,2,95,91
down the aisle of love,the quintones,12,44,87
down the aisle wedding song,patti labelle and the blue belles,13,59,91
down the hall,the 4 seasons,6,75,78
down the road,kenny chesney with mac mcanally,18,67,98
down the street to 301,johnny cash and the tennessee two,3,88,86
down to love town,the originals,9,69,92
down to one,luke bryan,20,63,84
down to the honkytonk,jake owen,13,78,84
down to the line,bachmanturner overdrive,7,59,72
down to the nightclub,tower of power,8,78,82
down to the station,bw stevenson,5,88,95
down under,men at work,25,22,89
down with the king,rundmc,17,40,82
down yonder,johnny and the hurricanes,9,63,84
downfall,trustcompany,4,91,95
downtime,jo dee messina,15,64,89
downtown,dolly parton,4,83,95
downtown,lady antebellum,20,49,80
downtown,macklemore  ryan lewis featuring eric nally melle mel kool moe dee  grandmaster caz,20,41,89
downtown,mrs miller,4,89,85
downtown,one 2 many,13,55,95
downtown,petula clark,15,15,41
downtown life,daryl hall john oates,9,48,100
downtown train,patty smyth,2,95,99
downtown train,rod stewart,18,24,83
downtown venus,pm dawn,8,58,96
dr ben basey,mickey shorr and the cutups,5,69,77
dr feelgood,motley crue,16,33,99
dr greenthumb,cypress hill,11,78,86
dr heckyll  mr jive,men at work,11,47,100
dr jon the medicine man,jon  robin and the in crowd,4,93,95
draco,future,8,76,95
drag city,jan  dean,11,26,54
drag me down,one direction,20,26,50
drag my bad name down,the 4 of us,5,82,100
draggin the line,tommy james,13,24,64
drank in my cup,kirko bangz,22,49,97
drankin n smokin,future  lil uzi vert,16,86,99
draw of the cards,kim carnes,12,42,87
draw the line,aerosmith,11,60,98
dre day,dr dre,20,30,89
dreadlock holiday,10cc,10,61,98
dream,dinah washington,2,100,92
dream,etta james,3,64,76
dream,forest for the trees,3,79,100
dream a little dream of me,mama cass with the mamas  the papas,11,33,53
dream about youfunky melody,stevie b,23,44,71
dream baby how long must i dream,glen campbell,7,40,50
dream baby how long must i dream,roy orbison,12,26,53
dream big,david cook,2,15,81
dream boy,annette with the afterbeats,2,100,87
dream boydream girl,cynthia  johnny o,15,70,90
dream lover,bobby darin,17,19,56
dream lover,the marshall tucker band,4,80,78
dream lover,the paris sisters,4,97,99
dream lover,the rebel pebbles,10,62,85
dream me home,mac davis,7,79,83
dream merchant,new birth,11,64,93
dream on,aerosmith,29,44,97
dream on,depeche mode,10,89,94
dream on,glee cast featuring neil patrick harris,2,26,92
dream on,the righteous brothers,8,48,64
dream on dreamer,the brand new heavies,11,66,90
dream on little dreamer,perry como,10,44,71
dream police,cheap trick,10,46,72
dream weaver,gary wright,20,29,88
dreamboat annie,heart,10,57,72
dreamer,chris brown,2,16,41
dreamer,livin joy,19,87,100
dreamer,supertramp,14,36,98
dreamer,the association,5,72,94
dreamin,john schneider,8,63,96
dreamin,johnny burnette,15,28,60
dreamin,loleatta holloway,9,86,95
dreamin,vanessa williams,20,38,92
dreamin,will to power,16,64,95
dreamin is easy,steel breeze,13,44,74
dreamin of love,stevie b,10,85,95
dreaming,blondie,14,49,97
dreaming,cliff richard,22,39,99
dreaming,orchestral manoeuvres in the dark,17,40,92
dreaming a dream,crown heights affair,13,63,77
dreaming of you,selena,20,35,61
dreamlover,mariah carey,29,16,49
dreams,buddy miles,3,89,88
dreams,diana degarmo,5,50,91
dreams,fleetwood mac,23,26,97
dreams,gabrielle,28,44,77
dreams,the cranberries,20,58,86
dreams,the game,13,50,91
dreams,van halen,14,44,99
dreams are ten a penny,the first class,4,87,86
dreams of the everyday housewife,glen campbell,8,45,45
dreams of the everyday housewife,wayne newton,7,78,89
dreamtime,daryl hall,15,25,91
dreamy eyes,johnny tillotson,24,72,92
dreidel,don mclean,12,38,66
dress you up,madonna,16,30,100
dressed for success,roxette,18,46,99
drew barrymore,bryce vine,14,60,99
drift  die,puddle of mudd,20,74,93
drift away,dobie gray,21,30,73
drift away,uncle kracker featuring dobie gray,35,26,66
driftin blues,bobby bland,3,96,96
driftwood,the moody blues,7,73,97
drink a beer,luke bryan,20,45,84
drink in my hand,eric church,20,56,78
drink on it,blake shelton,19,59,99
drink swear steal  lie,michael peterson,7,91,99
drink to that all night,jerrod niemann,20,58,87
drinkin bone,tracy byrd,16,74,100
drinkin problem,midland,20,65,93
drinking alone,carrie underwood,7,85,99
drinking class,lee brice,22,72,91
drinking wine spodee odee,jerry lee lewis,10,54,70
drip,cardi b featuring migos,10,59,96
drip drop,dion di muci,11,23,41
drip too hard,lil baby  gunna,35,17,46
drive,incubus,39,36,70
drive,rem,15,43,84
drive,the cars,19,27,95
drive by,train,36,28,83
drive for daddy gene,alan jackson,20,43,73
drive me wild,sawyer brown,14,61,94
drive my car,bob kuban and the inmen,3,94,94
drive my car,gary toms empire,5,74,84
driven out,the fixx,10,66,97
drivers license,olivia rodrigo,19,5,24
drivers seat,sniff n the tears,15,38,99
drivin home,duane eddy and the rebels,2,99,87
drivin my life away,eddie rabbitt,25,35,95
drivin wheel,foghat,10,49,65
driving wheel,junior parker,2,100,85
drop,the pharcyde,3,93,100
drop by my place,little carl carlton,6,84,87
drop dead gorgeous,republica,3,93,100
drop it like its hot,snoop dogg featuring pharrell,30,13,40
drop it low,ester dean featuring chris brown,17,68,99
drop the pilot,joan armatrading,6,84,87
drop the world,lil wayne featuring eminem,20,66,86
drops of jupiter tell me,train,53,26,67
drownin my sorrows,connie francis,7,52,69
drowning,a boogie wit da hoodie featuring kodak black,21,49,75
drowning,backstreet boys,20,64,93
drowning in the sea of love,joe simon,13,28,43
drowning in your eyes,ephraim lewis,9,84,94
drowns the whiskey,jason aldean featuring miranda lambert,19,60,100
drug addiction,youngboy never broke again,2,44,97
drugs or jesus,tim mcgraw,9,92,95
drum stomp,sandy nelson,3,95,94
drummer man,nancy sinatra,2,98,98
drummin up a storm,sandy nelson,8,79,83
drums,jon  robin,2,100,100
drums are my beat,sandy nelson,7,45,55
drunk and i dont wanna go home,elle king  miranda lambert,5,88,92
drunk girl,chris janson,10,89,97
drunk in love,beyonce featuring jay z,20,14,51
drunk last night,eli young band,20,61,83
drunk me,mitchell tenpenny,21,66,83
drunk on a plane,dierks bentley,20,45,79
drunk on you,luke bryan,24,32,69
drunk on your love,brett eldredge,15,57,83
dry your eyes,brenda  the tabulations,11,39,77
dub be good to me,beats international,5,84,90
duchess of earl,pearlettes,2,97,96
dude,beenie man featuring ms thing,26,56,97
dude looks like a lady,aerosmith,20,40,100
duele el corazon,enrique iglesias featuring wisin,8,87,98
dueling banjos,deliveranceeric weissberg  steve mandell,14,20,64
dueling tubas,martin mull and orchestra,3,96,99
duffle bag boy,playaz circle featuring lil wayne,20,35,76
duke of earl,gene chandler,15,19,61
dum dum,brenda lee,12,17,50
dum dum dee dum,johnny cymbal,4,86,84
dumb head,ginny arnell,12,74,93
dumdeda,bobby vinton,6,51,53
duncan,paul simon,7,60,66
dunkie butt please please please,12 gauge,21,52,100
dur dur detre bebe its tough to be a baby,jordy,9,74,96
dura,daddy yankee,21,59,75
dusic,brick,18,43,94
dusk till dawn,zayn featuring sia,16,73,99
dust,eli young band,9,89,97
dust in the wind,kansas,20,27,96
dusty,the rag dolls,6,71,79
dutchmans gold,walter brennan with billy vaughn and his orchestra,12,56,93
dyer maker,led zeppelin,16,44,79
dynamite,bts,32,21,50
dynamite,jermaine jackson,17,39,99
dynamite,taio cruz,47,19,48
dynamite woman,sir douglas quintet,2,87,83
dynomitepart i,tony camillos bazuka,20,42,88
each and every time,sweet sensation,7,69,93
each words a beat of my heart,mink de ville,4,92,93
eagles fly,sammy hagar,13,89,94
earache my eye,cheech  chong featuring alice bowie,13,35,94
earfquake,tyler the creator,15,52,96
early in the morning,buddy holly,7,39,52
early in the morning,robert palmer,15,38,98
early in the morning,the gap band,14,46,96
early in the morning,the rinkydinks,9,43,98
early in the morning,vanity fare,13,32,62
early morning love,sammy johns,8,76,93
early morning rain,peter paul  mary,3,97,96
earned it fifty shades of grey,the weeknd,43,24,87
earth,lil dicky,6,53,91
earth angel,johnny tillotson,7,63,65
earth angel from the karate kid part ii,new edition,14,44,93
earth angel will you be mine,the vogues,6,57,66
ease back,the meters,6,76,76
ease my mind,arrested development,12,58,93
ease on down the road,consumer rapport,12,64,81
ease on down the road,diana ross  michael jackson,9,52,97
easier,5 seconds of summer,16,61,90
easier said than done,the essex,13,18,50
east 1999,bone thugsnharmony,13,84,99
east side rendezvous,frost,14,88,100
east west,hermans hermits,8,42,60
eastside,benny blanco halsey  khalid,52,23,55
easy,commodores,22,34,95
easy,danileigh featuring chris brown,15,90,99
easy,faith no more,8,71,99
easy,paula deanda featuring bow wow,11,79,90
easy,rascal flatts featuring natasha bedingfield,23,56,80
easy,sheryl crow,8,92,99
easy as pie,billy crash craddock,8,66,78
easy come easy go,bobby sherman,14,28,63
easy come easy go,george strait,10,81,99
easy come easy go,winger,11,57,89
easy driver,kenny loggins,8,68,94
easy evil,travis wammack,6,85,94
easy for you to say,linda ronstadt,10,67,100
easy livin,uriah heep,12,53,75
easy love,dionne warwick,10,75,96
easy lover,philip bailey with phil collins,23,28,97
easy lovin,wade flemons,4,84,91
easy loving,freddie hart,17,38,78
easy rider let the wind pay the way,iron butterfly,6,72,75
easy street,edgar winter group,4,86,97
easy to be free,rick nelson,6,63,69
easy to be hard,cheryl barneshair soundtrack,7,72,80
easy to be hard,three dog night,13,18,40
easy to love,leo sayer,10,54,68
eat it,weird al yankovic,12,35,97
eat my shorts,rick dees,5,79,93
eaten alive,diana ross,7,83,97
ebb tide,lenny welch,9,42,68
ebb tide,the platters featuring tony williams,6,64,69
ebb tide,the righteous brothers,9,14,39
ebony and ivory,paul mccartney and stevie wonder,19,17,99
ebony eyes,bob welch,17,40,96
ebony eyes,rick james and smokey robinson,11,53,91
ebony eyes,the everly brothers,12,25,52
ebow the letter,rem,9,63,98
echame la culpa,luis fonsi  demi lovato,19,75,99
echo,gorilla zoe,9,74,97
echo,the emotions,6,84,86
echo park,keith barbour,9,54,78
echoes of love,the doobie brothers,7,78,99
ecstasy,ben e king,6,72,76
ecstasy,ohio players,15,51,94
eddies love,eddie kendricks,8,83,91
edge of a broken heart,vixen,21,59,99
edge of a dream,joe cocker,7,78,99
edge of seventeen just like the white winged dove,stevie nicks,14,31,96
edge of the universe,bee gees,13,49,97
edie ciao baby,the cult,4,94,97
eenie meenie,jeffrey osborne,5,78,97
eenie meenie,sean kingston  justin bieber,18,43,100
ego,beyonce,17,54,86
ego,elton john,8,43,98
eh cumpari,gaylord  holiday,6,83,89
ei,nelly,20,28,57
eight days a week,the beatles,10,13,38
eight men four women,ov wright,3,84,83
eight miles high,the byrds,9,34,53
eight second ride,jake owen,13,79,94
eighteen,alice cooper,13,41,77
eighteen with a bullet,pete wingfield,19,49,98
el amante,nicky jam,15,96,100
el bimbo,bimbo jet,10,64,83
el cerrito place,kenny chesney,13,82,90
el condor pasa if i could,simon  garfunkel,11,31,45
el farsante,ozuna  romeo santos,20,76,100
el matador,the kingston trio,11,52,78
el paso,marty robbins,22,26,97
el perdon forgiveness,nicky jam  enrique iglesias,30,77,95
el pussy cat,mongo santamaria,3,100,97
el trago the drink,2 in a room,6,92,99
el watusi,ray barretto,9,39,71
elastic heart,sia,30,39,52
eleanor rigby,aretha franklin,8,37,40
eleanor rigby,ray charles,10,53,71
eleanor rigby,the beatles,8,28,47
elected,alice cooper,8,38,48
election day,arcadia,16,24,89
electric avenue,eddy grant,22,27,94
electric barbarella,duran duran,9,64,100
electric blue,icehouse,21,34,85
electric body,aap rocky featuring schoolboy q,2,80,97
electric boogie,marcia griffiths,11,64,85
electric kingdom,twilight 22,8,86,98
electric relaxation relax yourself girl,a tribe called quest,9,71,98
electric stories,the 4 seasons featuring the sound of frankie valli,6,73,77
electric youth,debbie gibson,13,31,96
electrical storm,u2,7,84,100
electricity,silk city x dua lipa,10,77,99
electricland,bad company,4,80,80
electrolite,rem,2,96,99
element,kendrick lamar,11,67,100
elena,the marc tanner band,8,64,99
elenore,the turtles,12,27,54
elevate,drake,3,29,67
elevate my mind,stereo mcs,13,56,94
elevator,flo rida featuring timbaland,13,31,83
elevators me  you,outkast,20,37,99
elis coming,three dog night,14,21,50
ella quiere beber,anuel aa  romeo santos,20,77,97
eloise,barry ryan,4,90,91
elusive butterfly,bob lind,13,28,70
elvira,dallas frazier,4,76,74
elvira,the oak ridge boys,22,32,100
emergency,kool  the gang,16,39,81
eminence front,the who,6,74,97
emma,hot chocolate,14,34,78
emotion,barbra streisand,2,81,79
emotion,destinys child,20,31,85
emotion,helen reddy,9,42,60
emotion,samantha sang,27,30,100
emotion in motion,ric ocasek,19,48,91
emotional,carl thomas,20,64,99
emotional rescue,the rolling stones,19,24,97
emotional rollercoaster,vivian green,19,63,96
emotionally scarred,lil baby,25,58,89
emotionless,drake,4,35,99
emotions,brenda lee,12,25,58
emotions,htown,15,75,92
emotions,mariah carey,20,18,39
emotions in motion,billy squier,6,79,100
emperors new clothes,panic at the disco,4,70,98
empire,shakira,12,74,97
empire state of mind,glee cast,2,21,94
empire state of mind,jayz  alicia keys,30,13,47
empire strikes back medley,meco,14,38,92
empty,juice wrld,3,54,99
empty arms,sonny james,3,95,95
empty beach,tricia leigh fisher,8,80,99
empty garden hey hey johnny,elton john,17,38,93
empty pages,traffic,8,88,97
enamorado,keith colley,8,73,81
enchanted,the platters,15,31,84
enchanted island,the four lads,7,46,100
encore,cheryl lynn,8,82,93
encore,eminem dr dre  50 cent,15,48,85
end game,taylor swift featuring ed sheeran  future,13,47,91
end of the line,traveling wilburys,9,74,95
end of the road from boomerang,boyz ii men,32,14,45
endless love,diana ross  lionel richie,27,25,100
endless love,luther vandross  mariah carey,20,28,78
endless nights,eddie money,19,50,94
endless sleep,hank williams jr,4,94,96
endless sleep,jody reynolds,6,46,97
endless summer nights,richard marx,21,29,99
endlessly,brook benton,13,31,81
enemies,post malone featuring dababy,18,65,99
energy,devone,9,82,98
energy,drake,20,65,86
energy,keri hilson,9,84,92
energy,natalie featuring baby bash,8,73,86
energy crisis 74,dickie goodman,8,52,75
engine engine 9,roger miller,9,27,47
engine number 9,wilson pickett,13,36,69
england swings,roger miller,11,28,57
englishman in new york,sting,4,86,99
enjoy the silence,depeche mode,24,40,96
enjoy yourself,a,3,74,72
enjoy yourself,the jacksons,21,29,99
enough cryin,mary j blige featuring brooklyn,20,55,100
enough is enough,april wine,8,66,93
enough of no love,keyshia cole featuring lil wayne,9,88,91
enter sandman,metallica,20,30,47
entourage,omarion,5,81,96
envy me,calboy,27,45,98
envyfirewater,fat joe,8,84,99
epic,faith no more,21,36,91
epidemic,polo g,3,70,93
epiphany im leaving,chrisette michele,3,90,99
epistle to dippy,donovan,7,34,43
epro,beck,10,79,96
erase me,kid cudi featuring kanye west,5,58,97
eres tu touch the wind,mocedades,17,35,84
erotica,madonna,18,39,97
errbody,lil baby,2,41,98
errtime,nelly featuring jung tru  king jacob,6,40,74
esa nena linda,artie the 1 man party,14,83,100
escalator of life,robert hazard,9,67,94
escapade,janet jackson,17,19,99
escapate conmigo,wisin featuring ozuna,20,76,96
escape,enrique iglesias,20,30,58
escape the pina colada song,rupert holmes,21,23,93
escapeism part 1,james brown,6,50,68
eso beso that kiss,paul anka,8,41,60
espn presents the jock jam,various artists,25,40,54
esskeetit,lil pump,12,56,88
et,katy perry featuring kanye west,30,10,47
eternal flame,the bangles,19,27,83
eternally,sarah vaughan,8,59,100
eternity,vikki carr,4,94,97
europa and the pirate twins,thomas dolby,5,74,97
evacuate the dancefloor,cascada,26,37,57
eve,jim capaldi,4,93,92
eve of destruction,barry mcguire,11,13,34
eve of destruction,the turtles,2,100,100
even a fool can see,peter cetera,13,83,97
even better than the real thing,u2,15,50,96
even if it breaks your heart,eli young band,20,53,82
even it up,heart,12,50,92
even now,barry manilow,13,46,98
even now,bob seger  the silver bullet band,12,28,50
even the bad times are good,the tremeloes,7,50,60
even the nights are better,air supply,18,24,95
even though im leaving,luke combs,42,43,62
evening rain,earl grant,7,74,83
eventually,brenda lee,3,64,76
ever since the world began,tommy shaw,9,82,89
ever since you went away,art n soul,14,80,96
ever the same,rob thomas,20,66,99
everglades,the kingston trio,5,70,89
evergreen love theme from a star is born,barbra streisand,25,24,87
everlasting love,carl carlton,15,32,63
everlasting love,gloria estefan,20,43,77
everlasting love,howard jones,19,40,99
everlasting love,rex smithrachel sweet,13,51,86
everlasting love,robert knight,12,36,68
everlasting love,tony terry,10,90,96
everlovin,rick nelson,10,30,48
every 1s a winner,hot chocolate,18,28,79
every beat of my heart,crown heights affair,8,92,98
every beat of my heart,gladys knight and the pips,7,59,67
every beat of my heart,pips,13,24,63
every beat of my heart,rod stewart,6,88,100
every breath i take,gene pitney,8,68,90
every breath you take,the police,22,12,92
every chance i get,dj khaled featuring lil baby  lil durk,3,20,35
every day,rascal flatts,17,65,90
every day i have the blues,billy stewart,5,83,89
every day i have to cry,steve alaimo,10,66,84
every day i have to cry some,arthur alexander,9,63,73
every day of my life,bobby vinton,16,51,93
every day of the week,jade,22,30,47
every face tells a story,olivia newtonjohn,9,64,78
every girl,young money,20,36,84
every heartbeat,amy grant,19,23,96
every home should have one,patti austin,15,76,100
every kinda people,robert palmer,18,41,77
every light in the house,trace adkins,9,90,98
every little bit hurts,brenda holloway,10,35,61
every little kiss,bruce hornsby  the range,24,52,99
every little step,bobby brown,21,32,96
every little thing,carly pearce,17,74,98
every little thing,russell dickerson,12,68,84
every little thing i do,dion  the belmonts,8,60,73
every little thing i do,soul for real,26,26,50
every little thing she does is magic,the police,19,24,89
every little thing u do,christopher williams,12,80,90
every love song,greg kihn band,2,86,82
every mile a memory,dierks bentley,16,68,89
every morning,sugar ray,31,19,66
every night without you,paul anka,6,64,81
every other time,lfo,18,68,99
every river,brooks  dunn,5,79,99
every road leads back to you,bette midler,6,83,86
every rose has its thorn,poison,21,25,96
every step of the way,john waite,12,40,94
every step of the way,johnny mathis,7,42,47
every storm runs out of rain,gary allan,20,55,89
every teardrop is a waterfall,coldplay,18,47,92
every time i close my eyes,babyface,26,20,48
every time i hear that song,blake shelton,11,68,85
every time i hear your name,keith anderson,19,77,98
every time i think of you,the babys,16,37,87
every time i turn around back in love again,ltd,19,27,97
every time you touch me i get high,charlie rich,12,41,68
every which way but loose,eddie rabbitt,11,50,83
every woman in the world,air supply,22,24,88
everybody,keith urban,19,79,100
everybody,tommy roe,14,21,53
everybody backstreets back,backstreet boys,22,15,50
everybody be dancin,starbuck,8,56,74
everybody be somebody,ruffneck featuring yavahn,7,87,96
everybody dance,chic,10,58,98
everybody dance,ta mara  the seen,21,49,91
everybody dies in their nightmares,xxxtentacion,7,58,96
everybody do the sloopy,johnny thunder,5,74,81
everybody doesnt,amanda,6,85,96
everybody everybody,black box,19,34,98
everybody go home,eydie gorme,6,89,88
everybody got to believe in somebody,sam  dave,3,80,80
everybody have fun tonight,wang chung,21,26,98
everybody hurts,rem,20,52,92
everybody knows,steve lawrence,5,81,78
everybody knows,the dave clark five,8,56,72
everybody knows about my good thing pt 1,little johnny taylor,8,67,73
everybody knows i still love you,the dave clark five,8,34,52
everybody knows matilda,duke baxter,6,66,69
everybody likes to cha cha cha,sam cooke,13,44,83
everybody loves a clown,gary lewis and the playboys,11,23,43
everybody loves a love song,mac davis,7,70,73
everybody loves a lover,doris day,12,24,88
everybody loves a lover,the shirelles,12,35,53
everybody loves a nut,johnny cash,2,97,96
everybody loves a rain song,bj thomas,8,62,82
everybody loves a winner,william bell,2,95,95
everybody loves me but you,brenda lee,11,22,53
everybody loves somebody,dean martin,15,15,46
everybody monkey,freddy cannon,7,63,70
everybody move,cathy dennis,3,93,96
everybody needs love,gladys knight and the pips,9,60,84
everybody needs love,stephen bishop,13,49,94
everybody needs somebody to love,solomon burke,8,70,79
everybody needs somebody to love,wilson pickett,7,48,59
everybody ought to be in love,paul anka,4,81,80
everybody plays the fool,aaron neville,20,36,68
everybody plays the fool,the main ingredient,18,34,81
everybody talks,neon trees,39,31,70
everybody wanna get rich rite away,dr john,4,94,96
everybody wants to find a bluebird,randy edelman,4,95,94
everybody wants to go to heaven,kenny chesney with the wailers,19,55,91
everybody wants to rule the world,tears for fears,24,32,99
everybody wants you,billy squier,17,52,99
everybodys everything,santana,10,26,47
everybodys free to feel good,rozalla,20,56,93
everybodys free to wear sunscreen,baz luhrmann,7,50,79
everybodys got somebody but me,hunter hayes featuring jason mraz,9,86,95
everybodys got the right to love,the supremes,11,34,43
everybodys got to learn sometime,the korgis,19,40,98
everybodys gotta pay some dues,the miracles,7,67,81
everybodys had the blues,merle haggard and the strangers,8,73,79
everybodys out of town,bj thomas,9,38,48
everybodys somebodys fool,connie francis,18,15,42
everybodys talkin,nilsson,12,27,49
everyday,aap rocky featuring rod stewart x miguel x mark ronson,2,92,99
everyday,ariana grande featuring future,7,69,94
everyday,james taylor,11,69,93
everyday,john denver,3,82,81
everyday,logic  marshmello,13,66,95
everyday,phil collins,20,37,52
everyday,zac efron  vanessa anne hudgens,2,90,65
everyday  everynight,yvette michele,10,67,90
everyday america,sugarland,10,82,96
everyday i have to cry,the gentrys,5,90,95
everyday i write the book,elvis costello and the attractions,14,55,93
everyday is a winding road,sheryl crow,20,34,67
everyday people,joan jett  the blackhearts,9,53,87
everyday people,sly  the family stone,19,25,78
everyday we lit,yfn lucci featuring pnb rock,20,52,90
everyday with you girl,classics iv featuring dennis yost,11,38,63
everyday without you,hamilton joe frank  reynolds,7,72,99
everyone falls in love,tanto metro  devonte,16,92,99
everyone was there,bob kayli,2,96,96
everyones agreed that everything will turn out fine,stealers wheel,8,63,87
everyones gone to the moon,jonathan king,11,36,64
everyotherday,ornmore featuring father mc,8,64,78
everything,alanis morissette,8,80,97
everything,jody watley,23,33,98
everything,mary j blige,20,38,69
everything,michael buble,20,70,100
everything a man could ever need,glen campbell,8,64,78
everything about you,ugly kid joe,20,38,96
everything changes,kathy troccoli,20,33,74
everything falls apartsmall wonders,dogs eye view,14,85,99
everything good is bad,100 proof aged in soul,11,66,88
everything has changed,taylor swift featuring ed sheeran,20,49,79
everything i do gonh be funky from now on,lee dorsey,3,96,96
everything i do i do it for you,bryan adams,22,19,75
everything i need,men at work,9,57,93
everything i own,bread,13,19,54
everything i shouldnt be thinking about,thompson square,12,80,100
everything i wanted,billie eilish,33,22,49
everything in my heart,corey hart,15,47,99
everything is alright,spider,3,87,99
everything is awesome,tegan and sara featuring the lonely island,3,60,81
everything is beautiful,ray stevens,15,20,52
everything is everything,lauryn hill,18,64,98
